PlateID,PP#,ExpectedPeak1,ExpectedPeak2,Tollerance,Gene,FirstWell,LastWell,well#,PotentialPeak1_Search1_S,PotentialPeak1_Search1_H,PotentialPeak1_Search2_S,PotentialPeak1_Search2_H,PotentialPeak2_Search1_S,PotentialPeak2_Search1_H,PotentialPeak2_Search2_S,PotentialPeak2_Search2_H,HighestPeak_S,HighestPeak_S,HighestPeak_H,SecondHighestPeak_S,SecondHighestPeak_H,TotNumbPeaks
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,G4,not found,1,not found,1,196.35,62.0,196.35,62.0,196.35,196.35,62.0,1,1,1
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,B7,141.0,55.0,141.0,55.0,196.35,167.0,196.35,167.0,196.35,196.35,167.0,141.0,55.0,2
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,C11,140.9,56.0,140.9,56.0,196.3,167.0,196.3,167.0,196.3,196.3,167.0,156.48,98.0,7
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,A2,143.33,143.0,140.99,106.0,196.3,285.0,196.3,285.0,196.3,196.3,285.0,143.33,143.0,16
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,F2,140.9,61.0,140.9,61.0,196.32,97.0,196.32,97.0,196.32,196.32,97.0,255.31,63.0,3
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,B9,140.91,71.0,140.91,71.0,196.26,177.0,196.26,177.0,196.26,196.26,177.0,140.91,71.0,5
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,D9,140.91,71.0,140.91,71.0,196.34,64.0,196.34,64.0,140.91,140.91,71.0,196.34,64.0,2
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,E6,141.0,178.0,125.57,55.0,179.38,358.0,196.35,357.0,179.38,179.38,358.0,196.35,357.0,33
RUN200916A,A05,133.0,195.0,20.0,Haus7,A1,H12,E9,not found,1,not found,1,196.36,81.0,196.36,81.0,196.36,196.36,81.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,B2,143.96,106.0,143.96,106.0,not found,1,not found,1,143.96,143.96,106.0,688.92,94.0,8
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,A7,143.98,55.0,143.98,55.0,not found,1,not found,1,143.98,143.98,55.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,E3,143.92,115.0,143.92,115.0,not found,1,not found,1,143.92,143.92,115.0,210.83,67.0,2
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,B8,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,G7,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C10,143.85,61.0,143.85,61.0,not found,1,not found,1,143.85,143.85,61.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,A4,143.9,58.0,143.9,58.0,not found,1,not found,1,143.9,143.9,58.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,F10,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,F11,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,F12,111.4,138.0,129.27,135.0,147.24,116.0,165.36,97.0,111.4,111.4,138.0,129.27,135.0,6
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,E8,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,G4,143.98,85.0,143.98,85.0,not found,1,not found,1,143.98,143.98,85.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,F8,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C12,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,D10,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,D11,not found,1,not found,1,not found,1,not found,1,689.69,689.69,55.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,A10,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,E5,not found,1,not found,1,not found,1,not found,1,689.95,689.95,50.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,H9,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,H2,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,H6,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,A1,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,F1,143.92,96.0,143.92,96.0,not found,1,not found,1,143.92,143.92,96.0,279.13,86.0,5
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,F4,143.92,126.0,143.92,126.0,not found,1,not found,1,143.92,143.92,126.0,1,1,1
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,A12,not found,1,not found,1,not found,1,not found,1,284.9,284.9,267.0,1,1,3
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,C5,not found,1,not found,1,not found,1,not found,1,1,1,1,1,1,0
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,B7,not found,1,not found,1,not found,1,not found,1,689.48,689.48,67.0,408.02,56.0,3
RUN200916B,A07,128.0,164.0,20.0,Ggta1,A1,H12,D4,143.92,137.0,143.92,137.0,not found,1,not found,1,143.92,143.92,137.0,210.82,86.0,2
